URI,parent_stop,longitude,latitude,name,alternative-nl,alternative-fr,alternative-de,alternative-en,platform
http://irail.be/stations/NMBS/008871175#1,http://irail.be/stations/NMBS/008871175,4.41129000,50.3529010,Jamioulx platform 1,Jamioulx perron 1,Jamioulx voie 1,Jamioulx gleiss 1,Jamioulx platform 1,1
http://irail.be/stations/NMBS/008871175#2,http://irail.be/stations/NMBS/008871175,4.41129000,50.3529010,Jamioulx platform 2,Jamioulx perron 2,Jamioulx voie 2,Jamioulx gleiss 2,Jamioulx platform 2,2
http://irail.be/stations/NMBS/008884566#1,http://irail.be/stations/NMBS/008884566,3.88558300,50.4525770,Jemappes platform 1,Jemappes perron 1,Jemappes voie 1,Jemappes gleiss 1,Jemappes platform 1,1
http://irail.be/stations/NMBS/008884566#2,http://irail.be/stations/NMBS/008884566,3.88558300,50.4525770,Jemappes platform 2,Jemappes perron 2,Jemappes voie 2,Jemappes gleiss 2,Jemappes platform 2,2
http://irail.be/stations/NMBS/008843158#1,http://irail.be/stations/NMBS/008843158,5.49787100,50.6184470,Jemeppe-sur-Meuse platform 1,Jemeppe-sur-Meuse perron 1,Jemeppe-sur-Meuse voie 1,Jemeppe-sur-Meuse gleiss 1,Jemeppe-sur-Meuse platform 1,1
http://irail.be/stations/NMBS/008843158#2,http://irail.be/stations/NMBS/008843158,5.49787100,50.6184470,Jemeppe-sur-Meuse platform 2,Jemeppe-sur-Meuse perron 2,Jemeppe-sur-Meuse voie 2,Jemeppe-sur-Meuse gleiss 2,Jemeppe-sur-Meuse platform 2,2
http://irail.be/stations/NMBS/008874724#2,http://irail.be/stations/NMBS/008874724,4.66263000,50.4509500,Jemeppe-sur-Sambre platform 2,Jemeppe-sur-Sambre perron 2,Jemeppe-sur-Sambre voie 2,Jemeppe-sur-Sambre gleiss 2,Jemeppe-sur-Sambre platform 2,2
http://irail.be/stations/NMBS/008874724#3,http://irail.be/stations/NMBS/008874724,4.66263000,50.4509500,Jemeppe-sur-Sambre platform 3,Jemeppe-sur-Sambre perron 3,Jemeppe-sur-Sambre voie 3,Jemeppe-sur-Sambre gleiss 3,Jemeppe-sur-Sambre platform 3,3
http://irail.be/stations/NMBS/008874724#4,http://irail.be/stations/NMBS/008874724,4.66263000,50.4509500,Jemeppe-sur-Sambre platform 4,Jemeppe-sur-Sambre perron 4,Jemeppe-sur-Sambre voie 4,Jemeppe-sur-Sambre gleiss 4,Jemeppe-sur-Sambre platform 4,4
http://irail.be/stations/NMBS/008812047#1,http://irail.be/stations/NMBS/008812047,4.32621800,50.8808320,Jette platform 1,Jette perron 1,Jette voie 1,Jette gleiss 1,Jette platform 1,1
http://irail.be/stations/NMBS/008812047#2,http://irail.be/stations/NMBS/008812047,4.32621800,50.8808320,Jette platform 2,Jette perron 2,Jette voie 2,Jette gleiss 2,Jette platform 2,2
