URI,name,nmbs_short_name,average_weekday_embarkments,average_saturday_embarkments,average_sunday_embarkments
http://irail.be/stations/NMBS/008811916,Brussel-Schuman/Bruxelles-Schuman,BRU.-SCHUMAN,7.162,2.507,2.262
http://irail.be/stations/NMBS/008815040,Brussel-West/Bruxelles-Ouest,BRU.-WEST/OUEST,219,78,69
http://irail.be/stations/NMBS/008886066,Brugelette,BRUGELETTE,522,166,156
http://irail.be/stations/NMBS/008891009,Brugge,BRUGGE,15.310,12.340,11.868
http://irail.be/stations/NMBS/008891033,Brugge-Sint-Pieters,BRUGGE-SINT-PIETERS,104,62,77
http://irail.be/stations/NMBS/008811148,Buda,BUDA,158,,
http://irail.be/stations/NMBS/008822145,Buggenhout,BUGGENHOUT,572,178,195
http://irail.be/stations/NMBS/008814340,Buizingen,BUIZINGEN,694,242,124
http://irail.be/stations/NMBS/008895455,Burst,BURST,1.168,110,113
http://irail.be/stations/NMBS/008884889,Callenelle,CALLENELLE,28,,
